a52dec 0.8.0-2
abseil-cpp 20250512.1-1
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 48.1-1
adwaita-fonts 49.0-2
adwaita-icon-theme 48.1-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.4.7-1
alsa-lib 1.2.14-1
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
alsa-utils 1.2.14-1
amdvlk 2025.Q2.1-1
ansible 11.8.0-1
ansible-core 2.19.0-1
aom 3.12.1-1
appstream 1.0.5-2
aquamarine 0.9.2-1
aquamarine-git-debug 0.4.2_r222.g65dd97b-1
archlinux-keyring 20250716-1
argon2 20190702-6
aribb24 1.0.3-4
ark 25.04.3-1
ascii 3.30-2
at-spi2-core 2.56.3-1
atkmm 2.28.4-1
attica 6.16.0-1
attr 2.5.2-1
audit 4.0.5-1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.8+r194+g3f79789-3
ayatana-ido 0.10.4-1
baloo 6.16.0-1
baloo-widgets 25.04.3-1
base 3-2
base-devel 1-2
bash 5.3.3-1
bear 3.1.6-3
binutils 2.44+r94+gfe459e33c676-1
bison 3.8.2-8
blueman 2.4.6-1
bluez 5.83-1
bluez-libs 5.83-1
bluez-utils 5.83-1
boost-libs 1.88.0-3
breeze-icons 6.16.0-1
bridge-utils 1.7.1-2
brightnessctl 0.5.1-3
brotli 1.1.0-3
btop 1.4.4-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.114-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
cifs-utils 7.4-1
clang 20.1.8-1
cliphist 1:0.6.1-1
cmake 4.0.3-1
code 1.102.2-1
compiler-rt 20.1.8-1
composefs 1.0.8-1
containerd 2.1.3-1
convertlit 1.8-12
coreutils 9.7-1
cpio 2.15-3
cppdap 1.58.0-2
cryptsetup 2.8.0-1
curl 8.15.0-1
cython 3.1.2-1
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dconf 0.40.0-3
debugedit 5.2-1
debuginfod 0.193-2
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.33-1
diffutils 3.12-2
docker 1:28.3.2-1
docker-compose 2.39.1-1
dolphin 25.04.3-1
double-conversion 3.3.1-1
doxygen 1.14.0-1
duktape 2.7.0-7
dunst 1.12.2-1
e2fsprogs 1.47.3-1
ebook-tools 0.2.2-9
efibootmgr 18-3
efivar 39-1
electron34 34.5.8-1
electron35 35.7.2-1
elfutils 0.193-2
emacs 30.1-5
enchant 2.8.11-1
evtest 1.35-2
exiv2 0.28.5-1
expat 2.7.1-1
expect 5.45.4-5
eza 0.23.0-1
faad2 2.11.2-1
fakeroot 1.37.1.2-1
fastfetch 2.48.1-1
fcitx5 5.1.14-1
ffmpeg 2:7.1.1-5
ffmpeg4.4 4.4.6-1
ffmpegthumbs 25.04.3-1
fftw 3.3.10-7
file 5.46-4
filesystem 2025.05.03-1
filezilla 3.69.2-1
findutils 4.10.0-3
firefox 141.0-1
flac 1.5.0-1
flatpak 1:1.16.1-1
flex 2.6.4-5
fmt 11.2.0-1
fontconfig 2:2.17.1-1
freeglut 3.6.0-2
freetype2 2.13.3-3
fribidi 1.0.16-2
fuse-common 3.17.1-1
fuse2 2.9.9-5
fuse3 3.17.1-1
fzf 0.64.0-1
gawk 5.3.2-1
gc 8.2.8-2
gcc 15.1.1+r7+gf36ec88aa85a-1
gcc-libs 15.1.1+r7+gf36ec88aa85a-1
gcovr 8.3-1
gcr-4 4.4.0.1-1
gd 2.3.3-8
gdb 16.3-1
gdb-common 16.3-1
gdbm 1.25-1
gdk-pixbuf2 2.42.12-2
geoip 1.6.12-3
geoip-database 20250129-1
gettext 0.26-1
ghcup-hs-bin 0.1.50.2-1
